COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Greece	Guernsey	Hungary	Iceland	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Philippines	0 	0 	68 	73 	7 		35 	45 			210 	174 	5 	1035 	0 			16 		116 			1 	529 	192 	0 	173 			16 	1032 	3 		237 	1314 	298 		52 		1 	1441 	8 		1 		609 	0 	0 	1 		2 		0 	0 		0 	1116 		0 	23 	62 	593 	3 			2367 	5046 	0 		0 	C 	16905 
Pitcairn Islands	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 		0 			0 		0 		0 		0 
Poland	0 	0 	9 	1354 			270 	19 	0 	10 	103 	3 	12 		1 			16 	467 	338 		22 	74 	1483 	5613 	78 	91 	26 			992 	0 		424 	619 	59 	3 	5 			5491 					1793 	83 		433 		2 			79 		20 	32 	15 	0 	118 	980 	149 	0 			5409 	3481 	0 		0 	C 	30179 
Portugal	1 	0 	151 	1344 	232 		6522 	219 	137 	1 	381 	148 	10 	255 	9 			25 	130 	203 	3 	3 	1064 	26654 	17155 	198 	135 	0 			4111 	21 	9 	6935 	1449 	1017 	29 	20 	23 	1 	6803 	0 	55 	0 		5718 	0 	56 	918 				2 			0 	478 	5 	1 	5357 	288 	712 	0 			13817 	5276 	0 		0 	C 	108083 
Puerto Rico	0 	0 		0 			24 	0 	2 		45 		0 			2 		0 		2 				16 	0 	0 					8 	0 		11 	10 						16 					18 	0 						0 			0 			0 	0 	13 		0 			C 		0 		0 		167 
Qatar	0 	0 		16 			0 	0 			1 		0 					15 		7 	3 			33 	54 	0 	7 				20 	0 		5 	45 	12 		1 	462 	1 	69 	25 				43 			14 	1 			0 	0 		0 			0 	0 	0 	12 	11 	4 		139 		0 		0 		1001 
Reunion	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 			1 		0 							0 			0 			0 	0 	0 		0 			0 		0 		0 		1 
Romania	0 	0 	C 	208 			4 	0 		11 	3 	8 	0 					103 		69 	3 	1 	1 	69 	681 	231 	63 	2 			29 	0 		442 	1 	4 					463 					126 							C 	0 		0 		2 	0 	3 	2 	35 	0 	3 		600 	151 	0 		0 	C 	3320 
Russian Federation	0 	0 	59 	760 	2 		87 	57 	0 	6 	363 	35 	1 	44 	0 		0 	913 	22 	695 		15 	376 	845 	2124 	202 	463 	75 			728 	1 		1713 	258 	146 	0 	122 		1 	5970 					2450 	2 		106 		2 	24 	25 	0 	0 		60 	2 	0 	62 	1607 	1373 	0 	2 	15 	7635 	21555 	0 		0 	C 	51007 
Rwanda	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 	0 	0 		0 		0 
Saint Helena	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 					0 	0 	0 				0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		0 
Saint Pierre and Miquelon	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 		0 			0 		0 		0 		0 
Samoa	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		0 
San Marino	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		117 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		117 
Sao Tome and Principe	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 	0 		0 			0 	0 	0 	0 	0 			0 		0 		0 		0 
Saudi Arabia	0 	0 		0 			0 	0 			0 		0 					0 		0 	218 			0 	0 	9 	129 					0 		0 	0 				492 	1 	0 	20 				218 				47 			0 			0 			0 	0 	1 	16 	0 	10 		C 		0 		0 		1160 
Senegal	0 	0 		0 			0 	2 			0 		0 					0 		2 				10 	0 	0 						0 		0 	0 	7 					5 					0 							0 			0 			0 	0 	3 	4 	0 			29 	0 	0 		0 	C 	61 
Serbia, Republic of	0 	0 		0 			0 	0 		1 	0 		0 					0 		0 				0 	0 	14 	1 					0 		0 	0 						10 					75 							0 	38 		0 			0 	0 	0 	0 	0 			0 	15 	0 		0 	C 	154 
Seychelles	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 			3 		0 							0 			0 			0 	0 	0 	0 	0 			0 	1 	0 		0 		4 
Sierra Leone	0 	0 		0 			1 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 	0 	0 		0 		1 
Singapore	0 	0 	605 	125 	5 	0 	114 	104 	0 		1209 	100 	0 	5604 	60 			7 	0 	123 	0 		131 	620 	658 	5 	99 	0 	3 	125 	920 	18 		456 	2707 	230 	3 	326 		0 	3135 	443 		1132 		1427 	51 	16 	538 		2 	30 	C 	0 		0 			20 	30 	383 	530 	7 	0 		8065 	25001 	0 		0 	C 	55168 
Sint Maarten																																																																								
Slovak Republic	0 	0 	C 	681 			40 	0 			0 		3 					18 	565 	4 		4 		75 	1115 	13 	26 	16 			17 	0 		57 	0 	4 		6 			541 					114 			1 				3 	0 		0 	0 		0 	2 	0 	26 	0 			C 	88 	0 		0 	C 	3417 
Slovenia	0 	0 	C 	517 			19 	23 	0 	7 	0 	2 	2 					16 		0 		5 		287 	1235 	0 	17 				182 	0 		253 	1 						379 					140 	0 		25 				0 	0 		0 		2 	0 	33 	1 	57 	0 			186 	87 	0 		0 	C 	3476 
Solomon Islands	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		0 
Somalia	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 	0 	0 		0 		0 
South Africa	0 	0 	194 	352 			188 	1158 	0 		485 	23 	7 	0 			0 	8 	0 	207 				904 	2191 	486 	321 	0 			1055 	35 		436 	1488 	152 		13 		0 	3168 			550 		1092 		0 	33 			5 	0 	229 		0 	479 			47 	35 	746 	10 			6334 	17849 	0 		0 	C 	40280 
South Sudan																																																																								
Spain	401 	0 	1067 	4746 	11 		18433 	604 	15 	17 	3664 	89 	36 	675 	55 	13 		124 	31 	3375 	24 	0 	5939 	108277 	78382 	114 	3315 	3 	7 		27661 	46 	31 	15750 	21760 	3141 	58 	20 		3 	33586 	1 	48 			28582 	16 	57 	7803 		4 	5 	7 	5283 		0 	2238 	5 	58 		3295 	4812 	0 	0 		33841 	51547 	1 		0 	12492 	481570 
Sri Lanka	0 	0 	C 	0 			7 	0 			0 		0 					0 		2 				0 	0 	0 	1 					0 		0 	0 					0 	11 	0 		31 		3 				8 			0 			0 	59 		0 	0 	0 	0 	0 			59 	88 	0 		0 	C 	269 
St. Kitts and Nevis	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		53 	0 						0 					0 							0 			0 			0 	0 	0 		0 			0 	0 	0 		0 		53 
St. Lucia	0 	0 		0 	10 		0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 	C 	10 
St. Vincent and the Grenadines	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		3 	0 						0 					0 							0 			0 			0 	0 	0 	14 	0 			0 		0 		0 		16 
Sudan	0 	0 		0 			0 	0 			0 		0 					0 		0 	8 			0 	0 	0 						0 		0 	0 					0 	1 					0 							0 			0 			0 	0 	0 	0 	0 			4 	0 	0 		0 		12 
Suriname	0 	0 	C 	0 			0 	8 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		8 
Swaziland	0 	0 		0 			0 	0 			0 		0 					0 		1 				0 	0 	0 						6 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		7 
Sweden	1 	0 	750 	1764 		3 	3107 	718 	3 	5 	2299 	41 	108 	2469 	77 	1 	0 	C 	105 	8533 	14 	84 	12886 	13656 	14812 	77 	1792 	11 	35 	0 	8879 	1570 	41 	6498 	21598 	3143 	40 	5 	130 	3 	35419 	10 	70 	1 		10643 	101 	29 	9139 		5 	41 	C 	467 		9 	1229 		32 	2335 		8002 	0 	0 		24022 	45257 	3 		35 	7329 	249435 
Switzerland	7 	0 	2282 	2358 	61 	14 	2889 	488 	88 	0 	7893 	79 	0 	954 	8 	1 		C 	17 	2875 	24 	1 	1531 	15463 	24445 	158 	821 	11 	33 		7565 	126 	32 	9941 	9375 	2247 	38 	37 	22 	8 	27274 	61 	61 	31 		14296 	81 	97 	3864 		9 	21 	2 	259 		3 	1669 	9 	127 	3013 	7125 		4 	0 	0 	37145 	119715 	0 		2 	C 	306759 
Syrian Arab Republic	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		0 
Taiwan Province of China	0 	0 	160 	77 	10 	0 	94 	17 	0 		749 	173 	0 	2905 	9 			0 		313 			105 	1034 	470 	4 	440 	0 			1136 	2 		624 	646 	116 		14 		0 	5793 	23 		204 		2214 	0 	0 	611 			17 	0 	0 		0 	3149 		0 	1 	353 	639 	4 			11595 	27230 	0 		0 		60932 
Tajikistan	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 	C 	0 
Tanzania	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 			51 		0 							0 			0 			0 	0 	0 	0 	0 			C 	0 	0 		0 		51 
Thailand	0 	0 	103 	59 			109 	26 	0 		486 	266 	0 	3568 	1 			7 	0 	224 			85 	412 	681 	0 	339 			0 	468 	14 	1 	308 	1016 	136 		38 			2764 	6 		231 		703 	16 	0 	6 			3 	C 	0 		0 	3519 		6 	1 	78 	210 				3650 	7339 	0 		0 	C 	26877 
Timor-Leste, Dem. Rep. of	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 		0 
Togo	0 	0 		0 			0 	0 			0 		0 					0 		0 				0 	0 	0 						0 		0 	0 						0 					0 							0 			0 			0 	0 	0 	0 	0 			0 		0 		0 	C 	0 
