COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Greece	Guernsey	Hungary	Iceland	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
United Kingdom	63 	4 	8778 	8551 	562 	14457 	13403 	353 	7 	23939 	1032 	66 	34582 	251 	57 	0 	282 	340 	7333 	105 	5 	6102 	79524 	73186 	1988 	21807 	42 	204 	69 	115441 	12885 	502 	32925 	94846 	25273 	71 	570 	44 	65533 	153 	258 	529 	49758 	483 	1839 	16442 	0 	10 	143 	153 	4312 	7 	273 	20873 	19 	16008 	26920 	19228 	26286 	102 	45 			494639 	11 		0 	45155 	1368825 
United States	10225 	227 	51814 	16644 	6374 	31567 	127097 	1090 	403 	142940 	37651 	1926 	37020 	424 	1143 	9 	379 	899 	19346 	213 	22 	7586 	124198 	103211 	3436 	16168 	115 	739 	280 	179420 	2192 	7420 	70609 	499048 	51513 	1093 	5697 	212 	176180 	346 	250 	2285 	147061 	6747 	7333 	33372 	0 	1399 	2306 	584 	4334 	2 	657 	33071 	125 	4685 	23166 	46872 	81398 	1302 	76 		333183 		358 	39 	2903 	C 	2470384 
Uruguay	2 	0 	C 	18 	50 	3 	5 	71 		21 		126 			0 	1 	0 		4 		0 		10 	61 		15 	0 			27 	5 		37 	151 				0 	37 				4 	261 									1 			0 	1 		18 	0 	1 		C 	555 				C 	1484 
US Pacific Islands	0 	0 		0 		0 	12 	0 		0 		0 			0 		0 		0 		0 		0 	0 			0 	0 					0 						25 				0 										0 			0 	0 			0 			0 		0 				37 
US Virgin Islands	5 	0 		0 		2 	0 	3 		0 		0 		5 	0 		0 		0 		0 		5 	0 			0 	1 			0 		4 	3 	3 		10 	1 	61 				0 			0 							0 			0 	0 			0 			C 		0 				105 
Uzbekistan	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	2 	0 				3 
Vanuatu	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		1 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 			C 	1 
Vatican	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 								0 		0 			0 	0 		0 	0 			0 	0 	0 				0 
Venezuela, Republica Bolivariana de	4 	0 	C 	43 	8 	196 	12 	10 		224 	77 	3 	1 		10 	1 	0 		32 		0 		197 	446 		126 	0 			68 	0 		819 	29 				1 	396 	3 			172 	166 				122 	5 		0 		0 		0 	0 	9 	5 	87 	0 	1 		C 	4490 	6 				7770 
Vietnam	0 	0 		2 		0 	0 			0 		0 	8 		0 		0 		3 		0 		0 	2 		13 	0 		2 	6 			0 	33 					14 	20 			0 										0 	22 		0 	0 	0 	1 	4 			C 	47 	0 				179 
Virgin Islands, British	0 	0 		41 		7 	2083 	279 		82 	36 	0 	7068 	80 	0 		48 		3 		1 		1608 	318 		1354 	0 			764 	271 		867 	2016 	585 		32 	13 	1948 	13 		2 	48 	113 				1 			981 		0 	310 		138 	39 	35 		12 			1043 	2325 	0 				24566 
Wallis and Futuna	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			0 	0 	0 				0 
West Bank and Gaza	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		1 	0 			0 	0 	0 				1 
Western Sahara	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 			0 			0 	0 	0 				0 
Yemen, Republic of	0 	0 		0 		0 	0 			0 		0 			0 		0 		0 		0 		0 	0 			0 						0 	0 					0 				0 										0 			0 	0 		0 	0 			C 	0 	0 				0 
Zambia	0 	0 		0 		1 	0 			0 		0 			0 		0 		0 		0 		1 	0 			0 						0 	0 					2 			13 	0 										0 			0 	0 		0 	0 			C 	4 	0 				21 
Zimbabwe	0 	0 		0 		0 	0 			5 		0 	0 		0 		0 		0 		0 		1 	0 		1 	0 				0 		0 	0 					1 			466 	1 										0 			49 	0 	0 	0 	0 			C 	65 	0 				589 
Not Specified (including Confidential)	0 	51 	1440 	0 	70 	3 	0 	0 		1808 	1136 	38 	1584 	1 	0 		479 		3641 		0 	1968 	102 	0 	2049 		0 	29 	4 	40135 	62 	439 	6841 	12880 			58 	28 	16806 	20 	1 	93 	0 		3144 	3073 			0 	427 	107 		0 	7331 		0 	796 	126 	52498 	81 			70218 	1202 	0 			873118 	1103888 
International Organizations	22 	0 		1978 		1629 	1130 		23 	718 	29 	0 	7026 	159 	90 		4 	619 	125 	174 	2 	314 	16569 	8160 	913 	623 	34 	1 		2467 	42 		34859 	62041 	12591 	122 	54 	2 	11094 		73 	1 	2209 	35 		1367 		3 			1355 		13 		21 	0 	4394 	234 	2907 	0 			53120 	13645 	2 		18 	94836 	337847 
World	11774 	307 	90453 	152485 	14663 	318766 	187671 	3981 	668 	239129 	55194 	6483 	244068 	4074 	1807 	114 	5384 	9102 	86568 	1121 	858 	76020 	931876 	897832 	17522 	82632 	855 	1977 	935 	573967 	26095 	9897 	596058 	1394520 	153003 	2373 	11492 	645 	923399 	2534 	3871 	17128 	570003 	17317 	15461 	148440 	32 	3310 	2836 	2729 	62096 	21 	2508 	142618 	701 	30068 	269823 	148028 	530383 	1699 	804 	22 	1360380 	2246034 	999 	69 	2993 	1429101 	14147778 
